Galaxy,success,V0,V0_err,rc,rc_err,n,n_err,f_disk,f_disk_err,RMS,chi2_red,N_points,r_cut,logM_NFW,logM_Ein,logM_DC14
UGC02953,True,236.7478209416873,0.831210164215535,6.239000000000002,0.0610718933571671,2.9481789118567883,0.0906644390168361,0.6163327446929541,0.0058185049264796,21.659896150201067,6.159342735081928,110,0.5,12.23,12.17,12.32
UGCA281,True,27.684970016766385,18.05503648823001,0.4812934590147639,0.4915056638292498,1.804124790399116,0.6991020482947271,0.2,10.035316061091503,0.3562948512281659,0.0987405010826487,7,0.5,10.54,10.53,10.69
F574-1,True,94.26156648115918,40.25529668879074,3.5292009480542226,0.725969786553042,1.6482384333424571,0.8600781288909952,0.2,7.338652472909817,1.2617408809736526,0.1103526178252571,13,0.5,11.27,11.21,11.22
F574-1,True,94.26156648115918,40.25529668879074,3.5292009480542226,0.725969786553042,1.6482384333424571,0.8600781288909952,0.2,7.338652472909817,1.2617408809736526,0.1103526178252571,13,0.5,11.27,11.21,11.22
NGC0024,True,156.22900266919615,242.00125280961075,33.80999999999997,196.9532220697049,0.7114708910801533,0.2773536905131797,1.1999999999999995,0.1368634227470768,5.1098894694010175,0.5911434526114739,26,0.5,11.3,11.2,11.3
NGC0024,True,156.22900266919615,242.00125280961075,33.80999999999997,196.9532220697049,0.7114708910801533,0.2773536905131797,1.1999999999999995,0.1368634227470768,5.1098894694010175,0.5911434526114739,26,0.5,11.3,11.2,11.3
NGC0100,True,82.06002459677904,30.442992406207683,4.222730114711228,5.9644551802069,1.7456067200584726,1.9441671272237016,0.5976478732232073,2.5766628057724974,1.77092092864192,0.1161919760428793,20,0.5,11.19,10.96,11.21
NGC0100,True,82.06002459677904,30.442992406207683,4.222730114711228,5.9644551802069,1.7456067200584726,1.9441671272237016,0.5976478732232073,2.5766628057724974,1.77092092864192,0.1161919760428793,20,0.5,11.19,10.96,11.21
NGC0247,True,134.19319061737377,686.0744890533152,43.61999999932169,647.2758108393666,0.909556886451209,0.5634838946734009,1.1999999999999915,0.4982005700840748,3.436034129904601,1.6921329302202972,26,0.5,11.37,11.24,11.26
NGC0247,True,134.19319061737377,686.0744890533152,43.61999999932169,647.2758108393666,0.909556886451209,0.5634838946734009,1.1999999999999915,0.4982005700840748,3.436034129904601,1.6921329302202972,26,0.5,11.37,11.24,11.26
NGC0289,True,149.54226400040005,7.808717666007216,12.91212545289176,6.718330033596122,0.9163280362892472,0.5772368118730689,0.7943164728932156,0.11830165011237,10.175233855871864,2.0452436150511777,28,0.5,11.82,11.88,11.89
NGC0289,True,149.54226400040005,7.808717666007216,12.91212545289176,6.718330033596122,0.9163280362892472,0.5772368118730689,0.7943164728932156,0.11830165011237,10.175233855871864,2.0452436150511777,28,0.5,11.82,11.88,11.89
NGC0300,True,90.11690414933602,29.24238033386665,5.737397317748079,10.225137170952268,1.4177821545781812,2.668853192465926,0.8959469061154027,2.5286108089212034,3.3355951662699206,0.4857473212242282,25,0.5,11.11,11.1,11.07
NGC0300,True,90.11690414933602,29.24238033386665,5.737397317748079,10.225137170952268,1.4177821545781812,2.668853192465926,0.8959469061154027,2.5286108089212034,3.3355951662699206,0.4857473212242282,25,0.5,11.11,11.1,11.07
NGC0891,True,184.9658642833091,5.326948048434904,5.197001604285104,0.4815392915293567,2.5472695869773334,0.4103331792948609,0.3619353075862472,0.0564807062325371,9.73106673915761,1.5168792714354635,18,0.5,11.93,11.7,12.03
NGC0891,True,184.9658642833091,5.326948048434904,5.197001604285104,0.4815392915293567,2.5472695869773334,0.4103331792948609,0.3619353075862472,0.0564807062325371,9.73106673915761,1.5168792714354635,18,0.5,11.93,11.7,12.03
NGC1003,True,123.312269457048,26.28840901350361,21.70441774936495,16.676809299066175,0.908502608048529,0.4289240691132108,0.8183898355901248,0.1501393311935315,4.153765778767732,2.3900434187106163,36,0.5,11.59,11.43,11.55
NGC1003,True,123.312269457048,26.28840901350361,21.70441774936495,16.676809299066175,0.908502608048529,0.4289240691132108,0.8183898355901248,0.1501393311935315,4.153765778767732,2.3900434187106163,36,0.5,11.59,11.43,11.55
NGC1090,True,141.14207712111343,2.445239622625211,4.446950840078395,0.2938076762823232,2.177095500807518,0.3380375032366099,0.5535390953142986,0.0348589885523047,3.371654351121702,0.5768189586105242,23,0.5,11.71,11.53,11.91
NGC1090,True,141.14207712111343,2.445239622625211,4.446950840078395,0.2938076762823232,2.177095500807518,0.3380375032366099,0.5535390953142986,0.0348589885523047,3.371654351121702,0.5768189586105242,23,0.5,11.71,11.53,11.91
PGC51017,True,59.69999972272165,81751278.91297586,8.763880712983388,3006110.5913436147,7.999999999999999,4772.527309590784,0.7796647716074085,0.0833371166987998,4.3926360060256044,3.529877950804134,5,0.5,10.25,10.45,10.49
PGC51017,True,59.69999972272165,81751278.91297586,8.763880712983388,3006110.5913436147,7.999999999999999,4772.527309590784,0.7796647716074085,0.0833371166987998,4.3926360060256044,3.529877950804134,5,0.5,10.25,10.45,10.49
