time,dt_res,X,Y,Z,L,t_sec,Bx,By,Bz,B_total
2019-03-06 20:34:17+00:00,-4.845118465935283e-13,978947.3684210526,652631.5789473685,326315.7894736843,1220961.8841051809,3780,-145367280.0,-17516999.26,621763.44,146420210.1741715
2019-03-06 20:35:17+00:00,-4.967272056789898e-13,1042105.2631578948,694736.8421052634,347368.4210526317,1299733.61856358,3840,-145367296.0,-17518860.0,621741.0,146420448.5853062
2019-03-06 20:36:17+00:00,-5.016133493131739e-13,1105263.157894737,736842.1052631582,368421.0526315791,1378505.3530219789,3900,-145367328.0,-17520720.0,621718.56,146420702.8160493
2019-03-06 20:37:17+00:00,-5.016133493131746e-13,1168421.0526315789,778947.368421053,389473.6842105265,1457277.0874803774,3960,-145367360.0,-17522580.21,621696.12,146420957.09512046
2019-03-06 20:38:17+00:00,5.855536092928923e-13,1231578.9473684216,821052.6315789474,410526.3157894737,1536048.8219387764,4020,-145367376.0,-17524440.95,621673.68,146421195.57598147
2019-03-06 20:39:17+00:00,5.757813220245231e-13,1294736.842105263,863157.8947368423,431578.9473684211,1614820.5563971745,4080,-145367408.0,-17526301.68,621651.23,146421449.96368733
2019-03-06 20:40:17+00:00,5.635659629390614e-13,1357894.7368421052,905263.1578947372,452631.5789473685,1693592.2908555735,4140,-145367440.0,-17528162.0,621628.8,146421704.32561162
2019-03-06 20:41:17+00:00,5.513506038535996e-13,1421052.6315789474,947368.421052632,473684.210526316,1772364.0253139725,4200,-145367472.0,-17530022.0,621606.35,146421958.67234406
2019-03-06 20:42:17+00:00,5.464644602194154e-13,1484210.5263157897,989473.6842105268,494736.8421052634,1851135.7597723715,4260,-145367488.0,-17531882.53,621583.91,146422197.221026
2019-03-06 20:43:17+00:00,5.318060293168618e-13,1547368.421052632,1031578.9473684212,515789.47368421056,1929907.49423077,4320,-145367520.0,-17533743.26,621561.47,146422451.70163962
2019-03-06 20:44:17+00:00,5.220337420484925e-13,1610526.3157894742,1073684.210526316,536842.105263158,2008679.228689169,4380,-145367552.0,-17535604.0,621539.03,146422706.206665
2019-03-06 20:45:17+00:00,5.171475984143079e-13,1673684.2105263155,1115789.4736842108,557894.7368421054,2087450.9631475671,4440,-145367568.0,-17537464.0,621516.59,146422944.7615966
2019-03-06 20:46:17+00:00,5.073753111459386e-13,1736842.1052631575,1157894.7368421056,578947.3684210528,2166222.697605966,4500,-145367600.0,-17539324.11,621494.15,146423199.2376007
2019-03-06 20:47:17+00:00,5.000460956946622e-13,1800000.0,1200000.0000000005,600000.0000000002,2244994.432064365,4560,-145367632.0,-17541184.74,621471.71,146423453.79909793
2019-03-06 20:48:17+00:00,4.951599520604776e-13,1863157.8947368425,1242105.2631578948,621052.6315789474,2323766.166522764,4620,-145367648.0,-17543045.47,621449.27,146423692.51118338
2019-03-06 20:49:17+00:00,4.902738084262927e-13,1926315.7894736845,1284210.5263157897,642105.2631578948,2402537.9009811627,4680,-145367680.0,-17544906.0,621426.82,146423947.10710353
2019-03-06 20:50:17+00:00,4.878307366092002e-13,1989473.6842105268,1326315.7894736845,663157.8947368423,2481309.6354395617,4740,-145367712.0,-17546766.0,621404.38,146424201.66276196
2019-03-06 20:51:17+00:00,4.829445929750163e-13,2052631.578947369,1368421.052631579,684210.5263157897,2560081.3698979607,4800,-145367728.0,-17548626.21,621381.94,146424440.38225192
2019-03-06 20:52:17+00:00,4.707292338895549e-13,2115789.4736842103,1410526.3157894742,705263.1578947371,2638853.1043563588,4860,-145367760.0,-17550486.95,621359.5,146424695.07302368
2019-03-06 20:53:17+00:00,3.4368949940075625e-13,2178947.3684210526,1452631.5789473683,726315.7894736843,2717624.8388147573,4920,-145367792.0,-17552347.58,621337.06,146424949.77382278
2019-03-06 20:54:17+00:00,6.762238406932827e-14,2242105.263157895,1494736.8421052634,747368.4210526317,2796396.573273157,4980,-145367808.0,-17554208.0,621314.61,146425188.5881549
2019-03-06 20:55:17+00:00,2.0443440582649641e-13,2305263.157894737,1536842.1052631582,768421.0526315791,2875168.307731556,5040,-145367840.0,-17556068.0,621292.17,146425443.25986084
2019-03-06 20:56:17+00:00,-2.0844473126209991e-13,2368421.05263158,1578947.368421053,789473.6842105265,2953940.0421899543,5100,-145367872.0,-17557928.32,621269.73,146425697.99313253
2019-03-06 20:57:17+00:00,5.54070249838665e-14,2431578.9473684216,1621052.631578948,810526.3157894739,3032711.7766483533,5160,-145367892.21,-17559788.95,621247.29,146425941.08197513
2019-03-06 20:58:17+00:00,-4.747395593251589e-13,2494736.842105263,1663157.8947368425,831578.9473684211,3111483.511106751,5220,-145367920.0,-17561649.58,621224.85,146426191.7192801
2019-03-06 20:59:17+00:00,-6.674656587074768e-14,2557894.736842105,1705263.157894737,852631.5789473685,3190255.24556515,5280,-145367952.0,-17563510.0,621202.4,146426446.53414276
2019-03-06 21:00:17+00:00,-7.896192495620928e-14,2621052.6315789474,1747368.421052632,873684.210526316,3269026.9800235494,5340,-145367978.11,-17565370.0,621179.96,146426695.47445592
2019-03-06 21:01:17+00:00,-7.385913155711258e-13,2684210.5263157897,1789473.6842105268,894736.8421052634,3347798.714481948,5400,-145368000.0,-17567230.21,621157.52,146426940.27369344
2019-03-06 21:02:17+00:00,-2.1088780307919254e-13,2747368.421052632,1831578.9473684216,915789.4736842108,3426570.448940347,5460,-145368032.0,-17569090.84,621135.07,146427195.18338245
2019-03-06 21:03:17+00:00,-2.0844473126210027e-13,2810526.315789474,1873684.210526316,936842.105263158,3505342.183398745,5520,-145368057.26,-17570951.47,621112.63,146427443.42508638
2019-03-06 21:04:17+00:00,-1e-12,2873684.2105263155,1915789.4736842108,957894.7368421054,3584113.917857144,5580,-145368080.0,-17572812.0,621090.18,146427689.17621228
2019-03-06 21:05:17+00:00,-3.574721121047294e-13,2936842.1052631577,1957894.7368421056,978947.3684210528,3662885.652315543,5640,-145368112.0,-17574672.0,621067.74,146427944.07998016
2019-03-06 21:06:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,5700,-145368130.53,-17576532.0,621045.3,146428185.6344563
2019-03-06 21:07:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,5760,-145368160.0,-17578392.63,621022.86,146428438.14858055
2019-03-06 21:08:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,5820,-145368192.0,-17580253.26,621000.41,146428693.19755545
2019-03-06 21:09:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,5880,-145368208.0,-17582113.89,620977.97,146428932.3856847
2019-03-06 21:10:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,5940,-145368240.0,-17583974.0,620955.53,146429187.41869912
2019-03-06 21:11:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,6000,-145368272.0,-17585834.0,620933.09,146429442.46169823
2019-03-06 21:12:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,6060,-145368288.0,-17587694.32,620910.64,146429681.68225855
2019-03-06 21:13:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,6120,-145368320.0,-17589554.84,620888.2,146429936.83413467
2019-03-06 21:14:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,6180,-145368352.0,-17591415.47,620865.75,146430192.02238855
2019-03-06 21:15:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,6240,-145368368.0,-17593276.0,620843.31,146430431.3379264
2019-03-06 21:16:17+00:00,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416,6300,-145368400.0,-17595136.0,620820.86,146430686.49691808
