time,dt_res,X,Y,Z,L
3060,2.826666666666666,221052.63157894745,147368.42105263192,73684.21052631596,275701.07060439594
3120,2.826666666666666,284210.52631578967,189473.6842105263,94736.84210526316,354472.8050627946
3180,2.826666666666666,347368.42105263146,231578.94736842116,115789.47368421056,433244.53952119313
3240,2.826666666666666,410526.3157894737,273684.210526316,136842.10526315798,512016.27397959214
3300,2.826666666666666,473684.210526316,315789.4736842108,157894.7368421054,590788.008437991
3360,2.826666666666666,536842.1052631577,357894.73684210563,178947.36842105282,669559.7428963896
3420,2.826666666666666,600000.0,400000.0,200000.0,748331.4773547882
3480,2.826666666666666,663157.8947368423,442105.2631578948,221052.63157894745,827103.2118131872
3540,2.826666666666666,726315.7894736845,484210.52631578967,242105.26315789483,905874.9462715862
3600,2.826666666666666,789473.6842105263,526315.7894736845,263157.89473684225,984646.6807299848
3660,2.826666666666666,852631.5789473685,568421.0526315793,284210.52631578967,1063418.4151883838
3720,2.826666666666666,915789.4736842108,610526.3157894737,305263.15789473685,1142190.1496467823
3780,2.826666666666666,978947.3684210526,652631.5789473685,326315.7894736843,1220961.8841051809
3840,2.826666666666666,1042105.2631578948,694736.8421052634,347368.4210526317,1299733.61856358
3900,2.826666666666666,1105263.157894737,736842.1052631582,368421.0526315791,1378505.3530219789
3960,2.826666666666666,1168421.0526315789,778947.368421053,389473.6842105265,1457277.0874803774
4020,2.826666666666666,1231578.9473684216,821052.6315789474,410526.3157894737,1536048.8219387764
4080,2.826666666666666,1294736.842105263,863157.8947368423,431578.9473684211,1614820.5563971745
4140,2.826666666666666,1357894.7368421052,905263.1578947372,452631.5789473685,1693592.2908555735
4200,2.826666666666666,1421052.6315789474,947368.421052632,473684.210526316,1772364.0253139725
4260,2.826666666666666,1484210.5263157897,989473.6842105268,494736.8421052634,1851135.7597723715
4320,2.826666666666666,1547368.421052632,1031578.9473684212,515789.47368421056,1929907.49423077
4380,2.826666666666666,1610526.3157894742,1073684.210526316,536842.105263158,2008679.228689169
4440,2.826666666666666,1673684.2105263155,1115789.4736842108,557894.7368421054,2087450.9631475671
4500,2.826666666666666,1736842.1052631575,1157894.7368421056,578947.3684210528,2166222.697605966
4560,2.826666666666666,1800000.0,1200000.0000000005,600000.0000000002,2244994.432064365
4620,2.826666666666666,1863157.8947368425,1242105.2631578948,621052.6315789474,2323766.166522764
4680,2.826666666666666,1926315.7894736845,1284210.5263157897,642105.2631578948,2402537.9009811627
4740,2.826666666666666,1989473.6842105268,1326315.7894736845,663157.8947368423,2481309.6354395617
4800,2.826666666666666,2052631.578947369,1368421.052631579,684210.5263157897,2560081.3698979607
4860,2.826666666666666,2115789.4736842103,1410526.3157894742,705263.1578947371,2638853.1043563588
4920,2.826666666666666,2178947.3684210526,1452631.5789473683,726315.7894736843,2717624.8388147573
4980,2.826666666666666,2242105.263157895,1494736.8421052634,747368.4210526317,2796396.573273157
5040,2.826666666666666,2305263.157894737,1536842.1052631582,768421.0526315791,2875168.307731556
5100,2.826666666666666,2368421.05263158,1578947.368421053,789473.6842105265,2953940.0421899543
5160,2.826666666666666,2431578.9473684216,1621052.631578948,810526.3157894739,3032711.7766483533
5220,2.826666666666666,2494736.842105263,1663157.8947368425,831578.9473684211,3111483.511106751
5280,2.826666666666666,2557894.736842105,1705263.157894737,852631.5789473685,3190255.24556515
5340,2.826666666666666,2621052.6315789474,1747368.421052632,873684.210526316,3269026.9800235494
5400,2.826666666666666,2684210.5263157897,1789473.6842105268,894736.8421052634,3347798.714481948
5460,2.826666666666666,2747368.421052632,1831578.9473684216,915789.4736842108,3426570.448940347
5520,2.826666666666666,2810526.315789474,1873684.210526316,936842.105263158,3505342.183398745
5580,2.826666666666666,2873684.2105263155,1915789.4736842108,957894.7368421054,3584113.917857144
5640,2.826666666666666,2936842.1052631577,1957894.7368421056,978947.3684210528,3662885.652315543
5700,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
5760,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
5820,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
5880,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
5940,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
6000,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
6060,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
6120,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
6180,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
6240,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
6300,2.826666666666666,3000000.0,2000000.0,1000000.0,3741657.3867739416
