time,dt_res,X,Y,Z,L
4020,5.855536092928922e-13,1231578.9473684216,821052.6315789474,410526.3157894737,1536048.8219387764
4080,5.757813220245231e-13,1294736.842105263,863157.8947368423,431578.9473684211,1614820.5563971745
4140,5.635659629390614e-13,1357894.7368421052,905263.1578947372,452631.5789473685,1693592.2908555735
4200,5.513506038535996e-13,1421052.6315789474,947368.421052632,473684.210526316,1772364.0253139725
4260,5.464644602194154e-13,1484210.5263157897,989473.6842105268,494736.8421052634,1851135.7597723715
4320,5.318060293168618e-13,1547368.421052632,1031578.9473684212,515789.47368421056,1929907.49423077
4380,5.220337420484925e-13,1610526.3157894742,1073684.210526316,536842.105263158,2008679.228689169
4440,5.171475984143079e-13,1673684.2105263155,1115789.4736842108,557894.7368421054,2087450.9631475671
4500,5.073753111459386e-13,1736842.1052631575,1157894.7368421056,578947.3684210528,2166222.697605966
4560,5.000460956946622e-13,1800000.0,1200000.0000000005,600000.0000000002,2244994.432064365
4620,4.951599520604776e-13,1863157.8947368425,1242105.2631578948,621052.6315789474,2323766.166522764
4680,4.902738084262926e-13,1926315.7894736845,1284210.5263157897,642105.2631578948,2402537.9009811627
4740,4.878307366092001e-13,1989473.6842105268,1326315.7894736845,663157.8947368423,2481309.6354395617
4800,4.829445929750162e-13,2052631.578947369,1368421.052631579,684210.5263157897,2560081.3698979607
4860,4.707292338895548e-13,2115789.4736842103,1410526.3157894742,705263.1578947371,2638853.1043563588
4920,3.4368949940075625e-13,2178947.3684210526,1452631.5789473683,726315.7894736843,2717624.8388147573
4980,6.762238406932827e-14,2242105.263157895,1494736.8421052634,747368.4210526317,2796396.573273157
5040,2.0443440582649636e-13,2305263.157894737,1536842.1052631582,768421.0526315791,2875168.307731556
5100,-2.084447312620999e-13,2368421.05263158,1578947.368421053,789473.6842105265,2953940.0421899543
5160,5.54070249838665e-14,2431578.9473684216,1621052.631578948,810526.3157894739,3032711.7766483533
5220,-4.747395593251589e-13,2494736.842105263,1663157.8947368425,831578.9473684211,3111483.511106751
5280,-6.674656587074768e-14,2557894.736842105,1705263.157894737,852631.5789473685,3190255.24556515
5340,-7.896192495620927e-14,2621052.6315789474,1747368.421052632,873684.210526316,3269026.9800235494
5400,-7.385913155711257e-13,2684210.5263157897,1789473.6842105268,894736.8421052634,3347798.714481948
5460,-2.1088780307919254e-13,2747368.421052632,1831578.9473684216,915789.4736842108,3426570.448940347
5520,-2.0844473126210024e-13,2810526.315789474,1873684.210526316,936842.105263158,3505342.183398745
5580,-1e-12,2873684.2105263155,1915789.4736842108,957894.7368421054,3584113.917857144
5640,-3.574721121047294e-13,2936842.1052631577,1957894.7368421056,978947.3684210528,3662885.652315543
5700,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
5760,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
5820,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
5880,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
5940,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
6000,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
6060,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
6120,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
6180,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
6240,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
6300,-3.574721121047294e-13,3000000.0,2000000.0,1000000.0,3741657.3867739416
